date,base,quote,rate
2023-08-30,USD,KRW,1324.7
2023-08-31,USD,KRW,1324.59
2023-09-01,USD,KRW,1317.13
2023-09-04,USD,KRW,1317.63
2023-09-05,USD,KRW,1333.75
2023-09-06,USD,KRW,1331.62
2023-09-07,USD,KRW,1336.79
2023-09-08,USD,KRW,1334.56
2023-09-11,USD,KRW,1329.67
2023-09-12,USD,KRW,1327.94
2023-09-13,USD,KRW,1328.84
2023-09-14,USD,KRW,1325.67
2023-09-15,USD,KRW,1328.37
2023-09-18,USD,KRW,1325.6
2023-09-19,USD,KRW,1324.54
2023-09-20,USD,KRW,1327.22
2023-09-21,USD,KRW,1340.9
2023-09-22,USD,KRW,1332.99
2023-09-25,USD,KRW,1338.25
2023-09-26,USD,KRW,1348.53
2023-09-27,USD,KRW,1352.69
2023-09-28,USD,KRW,1353.74
2023-09-29,USD,KRW,1345.35
2023-10-02,USD,KRW,1355.76
2023-10-03,USD,KRW,1361.46
2023-10-04,USD,KRW,1354.78
2023-10-05,USD,KRW,1349.46
2023-10-06,USD,KRW,1347.18
2023-10-09,USD,KRW,1352.59
2023-10-10,USD,KRW,1349.08
2023-10-11,USD,KRW,1340.31
2023-10-12,USD,KRW,1337.29
2023-10-13,USD,KRW,1352.22
2023-10-16,USD,KRW,1354.42
2023-10-17,USD,KRW,1352.62
2023-10-18,USD,KRW,1351.85
2023-10-19,USD,KRW,1358.97
2023-10-20,USD,KRW,1351.71
2023-10-23,USD,KRW,1352.08
2023-10-24,USD,KRW,1343.82
2023-10-25,USD,KRW,1349.44
2023-10-26,USD,KRW,1357.37
2023-10-27,USD,KRW,1356.97
2023-10-30,USD,KRW,1348.77
2023-10-31,USD,KRW,1351.03
2023-11-01,USD,KRW,1356.33
2023-11-02,USD,KRW,1329.27
2023-11-03,USD,KRW,1310.43
2023-11-06,USD,KRW,1298.15
2023-11-07,USD,KRW,1308.32
2023-11-08,USD,KRW,1313.87
2023-11-09,USD,KRW,1311.29
2023-11-10,USD,KRW,1318.75
2023-11-13,USD,KRW,1324.95
2023-11-14,USD,KRW,1325.75
2023-11-15,USD,KRW,1297.85
2023-11-16,USD,KRW,1293.55
2023-11-17,USD,KRW,1292.31
2023-11-20,USD,KRW,1292.61
2023-11-21,USD,KRW,1290.66
2023-11-22,USD,KRW,1299.7
2023-11-23,USD,KRW,1301.7
2023-11-24,USD,KRW,1305.98
2023-11-27,USD,KRW,1299.07
2023-11-28,USD,KRW,1296.82
2023-11-29,USD,KRW,1290.91
2023-11-30,USD,KRW,1297.94
2023-12-01,USD,KRW,1306.42
2023-12-04,USD,KRW,1304.66
2023-12-05,USD,KRW,1314.76
2023-12-06,USD,KRW,1315.54
2023-12-07,USD,KRW,1319.3
2023-12-08,USD,KRW,1310.97
2023-12-11,USD,KRW,1320.73
2023-12-12,USD,KRW,1309.89
2023-12-13,USD,KRW,1319.05
2023-12-14,USD,KRW,1293.76
2023-12-15,USD,KRW,1300.26
2023-12-18,USD,KRW,1300.42
2023-12-19,USD,KRW,1304.71
2023-12-20,USD,KRW,1302.65
2023-12-21,USD,KRW,1302.96
2023-12-22,USD,KRW,1297.33
2023-12-27,USD,KRW,1294.78
2023-12-28,USD,KRW,1285.84
2023-12-29,USD,KRW,1297.43
2024-01-02,USD,KRW,1313.23
2024-01-03,USD,KRW,1311.73
2024-01-04,USD,KRW,1309.46
2024-01-05,USD,KRW,1318.23
2024-01-08,USD,KRW,1320.06
2024-01-09,USD,KRW,1318.67
2024-01-10,USD,KRW,1318.99
2024-01-11,USD,KRW,1314.64
2024-01-12,USD,KRW,1314.87
2024-01-15,USD,KRW,1322.02
2024-01-16,USD,KRW,1337.0
2024-01-17,USD,KRW,1345.14
2024-01-18,USD,KRW,1338.67
2024-01-19,USD,KRW,1333.69
2024-01-22,USD,KRW,1339.02
2024-01-23,USD,KRW,1337.65
2024-01-24,USD,KRW,1332.57
2024-01-25,USD,KRW,1336.87
2024-01-26,USD,KRW,1334.82
2024-01-29,USD,KRW,1335.67
2024-01-30,USD,KRW,1330.14
2024-01-31,USD,KRW,1333.05
2024-02-01,USD,KRW,1333.85
2024-02-02,USD,KRW,1323.81
2024-02-05,USD,KRW,1334.53
2024-02-06,USD,KRW,1328.08
2024-02-07,USD,KRW,1326.95
2024-02-08,USD,KRW,1332.04
2024-02-09,USD,KRW,1332.39
2024-02-12,USD,KRW,1328.82
2024-02-13,USD,KRW,1329.23
2024-02-14,USD,KRW,1333.34
2024-02-15,USD,KRW,1330.49
2024-02-16,USD,KRW,1332.74
2024-02-19,USD,KRW,1335.25
2024-02-20,USD,KRW,1333.79
2024-02-21,USD,KRW,1333.86
2024-02-22,USD,KRW,1326.79
2024-02-23,USD,KRW,1330.03
2024-02-26,USD,KRW,1331.05
2024-02-27,USD,KRW,1331.35
2024-02-28,USD,KRW,1337.3
2024-02-29,USD,KRW,1336.99
2024-03-01,USD,KRW,1335.62
2024-03-04,USD,KRW,1332.23
2024-03-05,USD,KRW,1334.67
2024-03-06,USD,KRW,1333.83
2024-03-07,USD,KRW,1327.83
2024-03-08,USD,KRW,1318.98
